"sep=	"
Shimmer_BFED_Timestamp_Unix_CAL	Shimmer_BFED_Accel_LN_X_CAL	Shimmer_BFED_Accel_LN_Y_CAL	Shimmer_BFED_Accel_LN_Z_CAL	Shimmer_BFED_Accel_WR_X_CAL	Shimmer_BFED_Accel_WR_Y_CAL	Shimmer_BFED_Accel_WR_Z_CAL	Shimmer_BFED_Gyro_X_CAL	Shimmer_BFED_Gyro_Y_CAL	Shimmer_BFED_Gyro_Z_CAL	Shimmer_BFED_Pressure_BMP180_CAL	Shimmer_BFED_Temperature_BMP180_CAL	
ms	m/(s^2)	m/(s^2)	m/(s^2)	m/(s^2)	m/(s^2)	m/(s^2)	deg/s	deg/s	deg/s	kPa	Degrees Celsius	
1512129026922.39	-6.91566265060241	4.37349397590361	6.45783132530121	-7.06315144083384	4.19865113427345	6.2391171060699	26.2595419847328	-20.381679389313	-45.7862595419847	102.419585680077	26.5688577306986	
1512129026930.21	-6.89156626506024	4.26506024096386	6.28915662650602	-7.01410177805028	4.05150214592275	6.08215818516248	29.4656488549618	-19.2519083969466	-43.587786259542	102.419585680077	26.5688577306986	
1512129026934.11	-6.78313253012048	4.12048192771084	6.18072289156627	-6.89638258736971	3.98283261802575	6.05272838749234	32.1526717557252	-19.2671755725191	-42.8702290076336	102.419585680077	26.5688577306986	
1512129026938.02	-6.3855421686747	3.85542168674699	6.3855421686747	-6.73942366646229	3.82587369711833	6.11158798283262	34.9770992366412	-15.8320610687023	-42.9923664122137	102.419585680077	26.5688577306986	
1512129026941.93	-6.6144578313253	4.07228915662651	6.42168674698795	-6.66094420600858	3.85530349478847	6.18025751072961	37.3893129770992	-3.55725190839695	-42.7022900763359	102.419585680077	26.5688577306986	
1512129026945.83	-7.0	4.46987951807229	5.74698795180723	-6.91600245248314	4.13979153893317	5.8859595340282	36.8854961832061	-4.82442748091603	-43.0534351145038	102.419585680077	26.5688577306986	
1512129026949.74	-7.12048192771084	4.33734939759036	5.59036144578313	-7.19068056407112	4.20846106683017	5.4543225015328	35.0687022900763	-10.3358778625954	-42.1526717557252	102.416632493877	26.5688577306986	
1512129026953.64	-6.92771084337349	4.33734939759036	5.57831325301205	-7.06315144083384	4.1594114040466	5.31698344573881	30.5954198473282	-16.4274809160305	-42.1526717557252	102.416632493877	26.5688577306986	
1512129026957.55	-6.79518072289157	4.14457831325301	5.66265060240964	-6.98467198038014	4.0907418761496	5.29736358062538	25.9541984732824	-19.7251908396947	-43.4351145038168	102.416632493877	26.5688577306986	
1512129026961.46	-6.81927710843374	4.01204819277108	5.72289156626506	-6.90619251992643	3.92397302268547	5.43470263641938	23.206106870229	-19.1908396946565	-44.1526717557252	102.416632493877	26.5688577306986	
1512129026965.36	-6.92771084337349	4.0	5.85542168674699	-6.98467198038014	3.90435315757204	5.5229920294298	22.0610687022901	-15.969465648855	-43.9083969465649	102.416632493877	26.5688577306986	
1512129026969.27	-7.0	3.91566265060241	5.79518072289157	-7.08277130594727	3.77682403433476	5.56223175965665	21.7404580152672	-14.0610687022901	-43.1908396946565	102.416632493877	26.5688577306986	
1512129026973.18	-7.04819277108434	3.95180722891566	5.81927710843374	-7.14163090128755	3.81606376456162	5.59166155732679	22.0152671755725	-13.1297709923664	-42.0763358778626	102.410726123779	26.5688577306986	
1512129026977.08	-7.01204819277108	3.90361445783133	5.83132530120482	-7.11220110361741	3.77682403433476	5.59166155732679	22.9465648854962	-12.7480916030534	-40.9770992366412	102.410726123779	26.5688577306986	
1512129026980.99	-7.0	3.85542168674699	5.81927710843374	-7.12201103617413	3.69834457388105	5.62109135499693	24.6717557251908	-12.5954198473282	-40.6259541984733	102.410726123779	26.5688577306986	
1512129026984.89	-7.03614457831325	3.7710843373494	5.80722891566265	-7.12201103617413	3.63948497854077	5.59166155732679	26.3969465648855	-13.6335877862595	-40.1984732824428	102.416632493877	26.5688577306986	
1512129026988.8	-7.09638554216868	3.71084337349398	5.83132530120482	-7.19068056407112	3.5904353157572	5.55242182709994	28.381679389313	-15.4503816793893	-39.7862595419847	102.416632493877	26.5688577306986	
1512129026992.71	-7.12048192771084	3.68674698795181	5.92771084337349	-7.21030042918455	3.56100551808706	5.66033108522379	29.9236641221374	-18.412213740458	-38.442748091603	102.416632493877	26.5688577306986	
1512129026996.61	-7.08433734939759	3.68674698795181	6.07228915662651	-7.2495401594114	3.56100551808706	5.71919068056407	30.8854961832061	-21.3587786259542	-36.5343511450382	102.419585680077	26.5688577306986	
1512129027000.52	-7.04819277108434	3.68674698795181	6.1566265060241	-7.19068056407112	3.52176578786021	5.8859595340282	31.0992366412214	-23.0534351145038	-34.793893129771	102.419585680077	26.5688577306986	
1512129027004.43	-7.13253012048193	3.69879518072289	6.14457831325301	-7.20049049662784	3.49233599019007	5.90557939914163	31.7862595419847	-24.763358778626	-33.9541984732824	102.419585680077	26.5688577306986	
1512129027008.33	-7.1566265060241	3.71084337349398	6.13253012048193	-7.2495401594114	3.54138565297364	5.87614960147149	33.4961832061069	-26.824427480916	-33.1603053435114	102.419585680077	26.5688577306986	
1512129027012.24	-7.1566265060241	3.68674698795181	6.1566265060241	-7.26916002452483	3.55119558553035	5.93500919681177	35.7251908396947	-29.0992366412214	-32.3206106870229	102.419585680077	26.5688577306986	
1512129027016.14	-7.09638554216868	3.68674698795181	6.14457831325301	-7.22992029429798	3.46290619251993	5.93500919681177	37.1603053435114	-31.6641221374046	-31.5572519083969	102.419585680077	26.5688577306986	
