"sep=	"
Shimmer_CE9F_Timestamp_Unix_CAL	Shimmer_CE9F_Accel_LN_X_CAL	Shimmer_CE9F_Accel_LN_Y_CAL	Shimmer_CE9F_Accel_LN_Z_CAL	Shimmer_CE9F_Gyro_X_CAL	Shimmer_CE9F_Gyro_Y_CAL	Shimmer_CE9F_Gyro_Z_CAL	Shimmer_CE9F_Mag_X_CAL	Shimmer_CE9F_Mag_Y_CAL	Shimmer_CE9F_Mag_Z_CAL	
ms	m/(s^2)	m/(s^2)	m/(s^2)	deg/s	deg/s	deg/s	local_flux	local_flux	local_flux	
1512153329633.51	-3.20246641179939	4.0950181210736	7.365657772158	7.99878806241478	-8.89825692306347	16.7188985494336	-0.0736363636363636	0.37	0.0510204081632653	
1512153329637.42	-3.17977135421047	4.06022075541731	7.23093650646213	14.3160127253446	-8.66521123966843	16.8670384524101	-0.0709090909090909	0.355454545454545	0.0571428571428572	
1512153329641.33	-3.24182729776063	4.06131200167394	7.12181188079922	20.8604756855022	-8.60392311859616	17.0298837342119	-0.07	0.371818181818182	0.0520408163265306	
1512153329645.23	-3.26645081378438	4.13456698020708	7.02522969013504	27.0110589304651	-8.40644881791395	16.8595818555356	-0.0727272727272727	0.373636363636364	0.05	
1512153329649.14	-3.30254017916494	4.25576488650783	6.95363183114453	33.2828359339494	-8.65924659603242	16.6162698291906	-0.0718181818181818	0.352727272727273	0.0469387755102041	
1512153329653.05	-3.31484716292853	4.35323701174122	6.84497352467353	38.7062566277837	-8.58988269995699	16.6223827279886	-0.0718181818181818	0.352727272727273	0.0469387755102041	
1512153329656.95	-3.27704210899645	4.55889316227658	6.76128618198102	42.7056506589911	-8.41096712869156	16.7637218660552	-0.0727272727272727	0.372727272727273	0.0469387755102041	
1512153329660.86	-3.18961453206222	4.78803855558456	6.73831311624232	48.4926526283896	-6.63151081903946	16.7948785864846	-0.0718181818181818	0.351818181818182	0.0459183673469388	
1512153329664.76	-3.3262986895405	4.58371384740925	6.68885622293047	52.3405544614452	-5.39726926314413	16.3778126844125	-0.0718181818181818	0.370909090909091	0.0428571428571429	
1512153329668.67	-3.3277462269287	4.59734589807519	6.53047043344516	53.7342826844417	-4.53359294346109	17.0419470168279	-0.0709090909090909	0.37	0.0428571428571429	
1512153329672.58	-3.34018537657465	4.54891282394427	6.55450073810275	55.4309953037418	-1.99512557705023	18.2509304832611	-0.0727272727272727	0.367272727272727	0.0387755102040816	
1512153329676.48	-3.27848773668533	4.59686306732924	6.57875350804015	54.8856233903954	-1.34606585007068	19.5622696161121	-0.0727272727272727	0.37	0.0377551020408163	
1512153329680.39	-3.19240131219764	4.65698467644668	6.59068898183766	52.0375700651416	-1.05486207065907	20.3508474202841	-0.0727272727272727	0.37	0.0377551020408163	
1512153329684.3	-3.15484722213509	4.74119540896052	6.6033506702134	48.6289956067262	-0.842291632265266	21.5578417959032	-0.0727272727272727	0.369090909090909	0.0346938775510204	
1512153329688.2	-3.10400520922255	4.92166143568638	6.62903715425397	44.9628844114528	-0.495535719946404	22.3998252159691	-0.0718181818181818	0.367272727272727	0.0346938775510204	
1512153329692.11	-2.73779653905294	6.86818868152496	7.15703546196188	41.599757612483	-0.118217181036908	21.8345360377731	-0.0736363636363636	0.35	0.0336734693877551	
1512153329696.01	-2.93684723063942	5.76484537584661	6.64799253582096	43.3570671110438	-4.00017936258519	3.02471282555219	-0.0754545454545455	0.349090909090909	0.0316326530612245	
1512153329699.92	-3.75586103208247	4.5986444201571	6.4006182252541	40.3272231480079	-1.0416764650088	-4.9098705744143	-0.0727272727272727	0.348181818181818	0.0295918367346939	
1512153329703.83	-3.54698859534652	4.68226258766454	6.47253641426914	33.1767913952431	1.9494342373385	1.38839896754111	-0.0718181818181818	0.365454545454545	0.0295918367346939	
1512153329707.73	-3.24069318609946	4.66866101873761	6.62787402985325	26.2990455991516	4.79870729033462	8.44836933513688	-0.0718181818181818	0.365454545454545	0.0295918367346939	
1512153329711.64	-3.20169537804733	4.69056399181206	6.84721527662542	21.2543554006969	7.58874631300477	11.91971792228	-0.0727272727272727	0.366363636363636	0.0306122448979592	
1512153329715.55	-3.15062054340872	4.76126581988556	7.00594813192563	15.7551886077867	8.29285840794714	15.0502260764625	-0.0745454545454545	0.366363636363636	0.0306122448979592	
1512153329719.45	-3.06295537050014	4.94149165050801	7.05565422630764	9.27132252688986	6.9764763695229	18.5312500745182	-0.0681818181818182	0.349090909090909	0.0275510204081633	
1512153329723.36	-2.9373682553716	5.27857599593631	7.08215944251308	3.19648538100288	6.68219792434747	21.6164580929346	-0.0727272727272727	0.348181818181818	0.0285714285714286	
1512153329727.26	-2.94786366898823	5.38638814402234	7.1443181278862	-2.31783063172247	9.14782284180813	23.2950451107085	-0.0709090909090909	0.366363636363636	0.0357142857142857	
1512153329731.17	-3.04505191007395	5.39818153619108	7.16979818812119	-8.75624905317376	11.2621953142843	23.155163336107	-0.0745454545454545	0.37	0.0306122448979592	
1512153329735.08	-3.15504237871474	5.34973870790368	7.19480390842716	-14.7553400999848	13.8982806649916	23.0819720898482	-0.0745454545454545	0.37	0.0306122448979592	
1512153329738.98	-3.25198920442748	5.36128824616032	7.24466935987173	-19.7091349795485	16.2416690307261	22.7876122453268	-0.0727272727272727	0.37	0.0316326530612245	
1512153329742.89	-3.31284189051139	5.31248451408302	7.3057654591679	-24.6174821996667	18.07901962179	22.6809805360489	-0.0736363636363636	0.352727272727273	0.0295918367346939	
1512153329746.8	-3.32503962478437	5.26380758604001	7.35418115503507	-29.4046356612634	19.5249031675987	23.1264182619121	-0.0727272727272727	0.369090909090909	0.0244897959183673	
1512153329750.7	-3.34943222878136	5.20296051153408	7.41479222008608	-34.1463414634146	20.3251252210977	22.9521904929588	-0.0763636363636364	0.374545454545455	0.0316326530612245	
1512153329754.61	-3.41077061016018	5.11813770570089	7.46333786364642	-37.7518557794273	21.734372782484	22.9283726019823	-0.0772727272727273	0.372727272727273	0.0326530612244898	
1512153329758.51	-3.47234945206233	5.04572768097315	7.47542467376938	-40.3272231480079	23.2003330919985	23.168369465187	-0.0772727272727273	0.356363636363636	0.0316326530612245	
1512153329762.42	-3.49698442628195	4.97295553318595	7.52372378983858	-42.4935615815785	25.2203986215134	23.53607666241	-0.0772727272727273	0.356363636363636	0.0316326530612245	
1512153329766.33	-3.52174106303771	4.88813638516144	7.57190365253077	-44.0084835630965	26.9520890784915	23.7017710255724	-0.0781818181818182	0.377272727272727	0.0295918367346939	
