dateTime,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,bodySurface_temp,ambient_temp,hr_raw,hr,remarks
2023-03-13 12:38:44.000,-0.02441406,0.00830103,-0.96411133,0.00000000,0.97659230,0.79348125,21.3,19.0,1435,87,Medida de prueba
2023-03-13 12:38:44.039,-0.02612305,0.00195318,-0.96411133,-0.06103516,0.67140721,0.97659230,,,,,
2023-03-13 12:38:44.078,-0.02783203,0.00415052,-0.96435547,-0.06103516,0.91555528,0.85451827,,,,,
2023-03-13 12:38:44.117,-0.02124023,0.01001007,-0.96630859,0.00000000,0.91555528,0.85451827,,,,,
2023-03-13 12:38:44.156,-0.02929688,0.00292978,-0.96386719,0.00000000,0.85451827,0.91555528,,,,,
2023-03-13 12:38:44.195,-0.02441406,0.00830103,-0.96215820,-0.06103516,0.85451827,0.91555528,,,,,
2023-03-13 12:38:44.234,-0.01953125,0.00000000,-0.96289062,-0.06103516,0.85451827,0.79348125,,,,,
2023-03-13 12:38:44.273,-0.02343750,0.00952177,-0.96655273,-0.18310547,0.79348125,0.91555528,,,,,
2023-03-13 12:38:44.312,-0.02441406,0.00488296,-0.96337891,-0.06103516,0.73244423,0.85451827,,,,,
2023-03-13 12:38:44.351,-0.02221680,0.00439467,-0.96264648,-0.06103516,0.79348125,0.85451827,,,,,
2023-03-13 12:38:44.390,-0.02758789,0.00488296,-0.96044922,-0.06103516,0.85451827,0.79348125,,,,,
2023-03-13 12:38:44.429,-0.02563477,0.00830103,-0.96533203,-0.12207031,0.91555528,0.79348125,,,,,
2023-03-13 12:38:44.468,-0.02148438,0.01074252,-0.96044922,-0.12207031,0.85451827,0.97659230,,,,,
2023-03-13 12:38:44.507,-0.02636719,0.00756859,-0.96093750,0.06103702,0.91555528,0.79348125,,,,,
2023-03-13 12:38:44.546,-0.02221680,0.01147496,-0.95996094,-0.06103516,0.85451827,0.85451827,,,,,
2023-03-13 12:38:44.585,-0.02587891,0.00830103,-0.96557617,-0.12207031,0.91555528,0.85451827,,,,,
2023-03-13 12:38:44.625,-0.02465820,0.00634785,-0.96313477,-0.06103516,0.91555528,0.91555528,,,,,
2023-03-13 12:38:44.664,-0.02441406,-0.00024414,-0.96142578,0.00000000,0.79348125,0.91555528,,,,,
2023-03-13 12:38:44.703,-0.02416992,0.00708029,-0.96264648,-0.18310547,0.91555528,0.85451827,,,,,
2023-03-13 12:38:44.742,-0.02246094,0.00854518,-0.96508789,-0.12207031,0.85451827,0.91555528,,,,,
2023-03-13 12:38:44.781,-0.02148438,0.01025422,-0.96484375,-0.12207031,0.79348125,0.85451827,,,,,
2023-03-13 12:38:44.820,-0.02636719,0.00317392,-0.96118164,0.00000000,0.91555528,0.85451827,,,,,
2023-03-13 12:38:44.859,-0.02026367,-0.00048828,-0.96655273,-0.06103516,0.85451827,0.85451827,,,,,
2023-03-13 12:38:44.898,-0.02661133,0.00830103,-0.95947266,-0.12207031,0.79348125,0.79348125,,,,,
2023-03-13 12:38:44.937,-0.02587891,0.00585955,-0.95776367,-0.18310547,0.79348125,0.91555528,,,,,
2023-03-13 12:38:44.976,-0.02319336,0.00097659,-0.96215820,-0.12207031,0.85451827,0.91555528,,,,,
2023-03-13 12:38:45.015,-0.02368164,0.00561541,-0.96582031,-0.06103516,0.79348125,0.79348125,,,,,
2023-03-13 12:38:45.054,-0.02416992,0.00708029,-0.96240234,-0.06103516,0.85451827,0.79348125,,,,,
2023-03-13 12:38:45.093,-0.01953125,0.00390637,-0.96777344,-0.06103516,0.79348125,0.79348125,,,,,
2023-03-13 12:38:45.132,-0.02514648,0.00610370,-0.96240234,-0.06103516,0.85451827,1.03762932,,,,,
2023-03-13 12:38:45.171,-0.02197266,0.00390637,-0.96411133,-0.12207031,0.73244423,0.73244423,,,,,
2023-03-13 12:38:45.210,-0.02880859,0.00634785,-0.96484375,0.00000000,0.91555528,0.85451827,,,,,
2023-03-13 12:38:45.250,-0.02636719,0.00512711,-0.96166992,0.00000000,0.79348125,0.91555528,,,,,
2023-03-13 12:38:45.289,-0.02343750,0.00756859,-0.96606445,-0.12207031,0.73244423,0.91555528,,,,,
2023-03-13 12:38:45.328,-0.02563477,0.00927763,-0.96386719,-0.06103516,0.79348125,0.85451827,,,,,
2023-03-13 12:38:45.367,-0.02636719,0.00659200,-0.96337891,-0.06103516,0.91555528,0.91555528,,,,,
2023-03-13 12:38:45.406,-0.02465820,0.00219733,-0.96752930,0.00000000,0.91555528,0.79348125,,,,,
2023-03-13 12:38:45.445,-0.02807617,0.00219733,-0.96264648,0.00000000,0.91555528,0.85451827,,,,,
2023-03-13 12:38:45.484,-0.02368164,0.00512711,-0.96655273,-0.12207031,0.85451827,0.91555528,,,,,
2023-03-13 12:38:45.523,-0.02172852,0.00708029,-0.96093750,0.00000000,0.85451827,0.79348125,,,,,
2023-03-13 12:38:45.562,-0.02612305,0.00927763,-0.95874023,0.00000000,0.73244423,0.97659230,,,,,
2023-03-13 12:38:45.601,-0.02026367,0.00708029,-0.96435547,-0.18310547,0.67140721,0.97659230,,,,,
2023-03-13 12:38:45.640,-0.02539062,0.00195318,-0.96582031,-0.12207031,0.91555528,0.85451827,,,8191,87,
2023-03-13 12:38:45.679,-0.02416992,0.00268563,-0.96533203,-0.12207031,0.73244423,0.85451827,,,,,
2023-03-13 12:38:45.718,-0.02612305,0.00732444,-0.96069336,-0.24414062,0.79348125,0.97659230,,,,,
2023-03-13 12:38:45.757,-0.02368164,0.01147496,-0.96166992,0.06103702,0.91555528,0.79348125,,,,,
